rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person
48,0,0,0.0,0.9738,0.9578,0.803,0.1078,1907,1835,779,534,1373
48,0,15,15.33,0.7584,0.6737,0.7271,0.1539,1907,1330,866,534,1373
48,0,30,30.48,0.4794,0.2389,0.6395,0.1787,1907,584,546,534,1373
48,0,45,45.21,0.2491,0.0561,0.5807,0.1847,1907,210,272,534,1373
48,0,60,60.32,0.0543,0.0036,0.4897,0.1696,1907,34,62,534,1373
48,15,0,0.0,0.9719,0.9592,0.8001,0.1124,1907,1836,684,534,1373
48,15,15,15.33,0.7472,0.6773,0.7204,0.1552,1907,1329,799,534,1373
48,15,30,30.48,0.4757,0.2294,0.6475,0.1754,1907,569,496,534,1373
48,15,45,45.21,0.2753,0.067,0.5536,0.187,1907,239,225,534,1373
48,15,60,60.32,0.0618,0.0036,0.4809,0.1689,1907,38,62,534,1373
48,30,0,0.0,0.9682,0.9395,0.7954,0.1084,1907,1807,761,534,1373
48,30,15,15.33,0.7734,0.6701,0.7288,0.1427,1907,1333,846,534,1373
48,30,30,30.48,0.5056,0.2447,0.6519,0.1671,1907,606,580,534,1373
48,30,45,45.21,0.2285,0.0757,0.5523,0.1751,1907,226,232,534,1373
48,30,60,60.32,0.0412,0.0051,0.4834,0.1691,1907,29,63,534,1373
48,45,0,0.0,0.9588,0.9046,0.7609,0.1307,1907,1754,1038,534,1373
48,45,15,15.33,0.764,0.614,0.6963,0.1603,1907,1251,1415,534,1373
48,45,30,30.48,0.4438,0.1981,0.6372,0.1724,1907,509,732,534,1373
48,45,45,45.21,0.1948,0.0452,0.5336,0.172,1907,166,251,534,1373
48,45,60,60.32,0.0206,0.0007,0.4572,0.1656,1907,12,42,534,1373
48,60,0,0.0,0.7509,0.5623,0.6721,0.1689,1907,1173,1461,534,1373
48,60,15,15.33,0.5393,0.2484,0.6243,0.1709,1907,629,1396,534,1373
48,60,30,30.48,0.1573,0.0488,0.5765,0.1799,1907,151,344,534,1373
48,60,45,45.21,0.03,0.0058,0.5083,0.1653,1907,24,73,534,1373
48,60,60,60.32,0.0019,0.0,0.3023,,1907,1,16,534,1373
32,0,0,0.0,0.9644,0.957,0.7985,0.1107,1907,1829,755,534,1373
32,0,15,15.33,0.6723,0.6249,0.7128,0.1526,1907,1217,800,534,1373
32,0,30,30.48,0.412,0.2119,0.6272,0.1728,1907,511,440,534,1373
32,0,45,45.21,0.1948,0.0539,0.5676,0.1821,1907,178,213,534,1373
32,0,60,60.32,0.0393,0.0036,0.4829,0.1662,1907,26,47,534,1373
32,15,0,0.0,0.9644,0.9527,0.7982,0.1084,1907,1823,661,534,1373
32,15,15,15.33,0.6816,0.6264,0.7061,0.1573,1907,1224,758,534,1373
32,15,30,30.48,0.4213,0.2105,0.6246,0.1751,1907,514,424,534,1373
32,15,45,45.21,0.2247,0.0568,0.5482,0.1807,1907,198,183,534,1373
32,15,60,60.32,0.0449,0.0029,0.4661,0.142,1907,28,48,534,1373
32,30,0,0.0,0.9625,0.9388,0.7912,0.1105,1907,1803,737,534,1373
32,30,15,15.33,0.7135,0.6402,0.7089,0.1493,1907,1260,845,534,1373
32,30,30,30.48,0.412,0.2265,0.6388,0.1656,1907,531,515,534,1373
32,30,45,45.21,0.1685,0.0655,0.5573,0.1729,1907,180,225,534,1373
32,30,60,60.32,0.03,0.0036,0.488,0.141,1907,21,58,534,1373
32,45,0,0.0,0.9532,0.8988,0.7593,0.1289,1907,1743,1027,534,1373
32,45,15,15.33,0.7004,0.5725,0.6865,0.1595,1907,1160,1342,534,1373
32,45,30,30.48,0.3652,0.1814,0.6266,0.169,1907,444,646,534,1373
32,45,45,45.21,0.1367,0.0466,0.5216,0.17,1907,137,222,534,1373
32,45,60,60.32,0.0112,0.0007,0.5115,0.1584,1907,7,40,534,1373
32,60,0,0.0,0.736,0.5477,0.6709,0.1659,1907,1145,1411,534,1373
32,60,15,15.33,0.4644,0.228,0.6182,0.1648,1907,561,1284,534,1373
32,60,30,30.48,0.1273,0.0437,0.5708,0.1686,1907,128,307,534,1373
32,60,45,45.21,0.0187,0.0066,0.5374,0.159,1907,19,58,534,1373
32,60,60,60.32,0.0019,0.0,0.2566,,1907,1,12,534,1373
24,0,0,0.0,0.9438,0.9534,0.7932,0.1131,1907,1813,759,534,1373
24,0,15,15.33,0.5805,0.5645,0.6904,0.1665,1907,1085,757,534,1373
24,0,30,30.48,0.3408,0.177,0.6115,0.1756,1907,425,370,534,1373
24,0,45,45.21,0.1536,0.0473,0.5507,0.1745,1907,147,168,534,1373
24,0,60,60.32,0.03,0.0029,0.476,0.1554,1907,20,34,534,1373
24,15,0,0.0,0.9532,0.949,0.7916,0.1136,1907,1812,666,534,1373
24,15,15,15.33,0.588,0.5703,0.6865,0.1648,1907,1097,686,534,1373
24,15,30,30.48,0.3352,0.1835,0.6083,0.1777,1907,431,359,534,1373
24,15,45,45.21,0.1592,0.0488,0.5444,0.1792,1907,152,146,534,1373
24,15,60,60.32,0.0318,0.0029,0.4552,0.1329,1907,21,28,534,1373
24,30,0,0.0,0.9532,0.9366,0.7862,0.1135,1907,1795,743,534,1373
24,30,15,15.33,0.6255,0.587,0.6903,0.1589,1907,1140,778,534,1373
24,30,30,30.48,0.339,0.2054,0.6288,0.1629,1907,463,416,534,1373
