detector,rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
yolo26n,48,0,0,0.0,0.9625,0.9374,0.8255,0.1262,1907,1801,626,534,1373,0.0
yolo26n,48,0,15,15.33,0.7884,0.6788,0.7413,0.1747,1907,1353,651,534,1373,15.11
yolo26n,48,0,30,30.48,0.6779,0.3445,0.6704,0.1989,1907,835,716,534,1373,30.32
yolo26n,48,0,45,45.21,0.5468,0.0699,0.6251,0.2129,1907,388,574,534,1373,45.05
yolo26n,48,0,60,60.32,0.1835,0.0,0.5708,0.1893,1907,98,105,534,1373,60.1
yolo26n,48,0,75,75.38,0.0037,0.0,0.4918,0.2199,1907,2,0,534,1373,75.01
yolo26n,48,15,0,0.0,0.9719,0.9315,0.827,0.1247,1907,1798,559,534,1373,0.0
yolo26n,48,15,15,15.33,0.7846,0.6635,0.7431,0.1704,1907,1330,628,534,1373,15.03
yolo26n,48,15,30,30.48,0.6592,0.3234,0.6698,0.2046,1907,796,739,534,1373,30.09
yolo26n,48,15,45,45.21,0.53,0.0634,0.6539,0.2006,1907,370,567,534,1373,44.71
yolo26n,48,15,60,60.32,0.1966,0.0007,0.5335,0.1855,1907,106,85,534,1373,59.69
yolo26n,48,15,75,75.38,0.0037,0.0,0.459,0.1947,1907,2,0,534,1373,74.72
yolo26n,48,30,0,0.0,0.9663,0.9352,0.814,0.136,1907,1800,666,534,1373,0.0
yolo26n,48,30,15,15.33,0.7996,0.6686,0.7434,0.1689,1907,1345,739,534,1373,14.98
yolo26n,48,30,30,30.48,0.691,0.3183,0.677,0.2009,1907,806,746,534,1373,30.2
yolo26n,48,30,45,45.21,0.5487,0.0765,0.6454,0.2025,1907,398,558,534,1373,45.07
yolo26n,48,30,60,60.32,0.1835,0.0007,0.5883,0.1836,1907,99,95,534,1373,60.33
yolo26n,48,30,75,75.38,0.0056,0.0,0.3285,0.0652,1907,3,2,534,1373,75.36
yolo26n,48,45,0,0.0,0.9438,0.8878,0.7938,0.1397,1907,1723,890,534,1373,0.0
yolo26n,48,45,15,15.33,0.7603,0.6052,0.7118,0.1814,1907,1237,1023,534,1373,14.78
yolo26n,48,45,30,30.48,0.6442,0.2717,0.6711,0.1941,1907,717,701,534,1373,29.85
yolo26n,48,45,45,45.21,0.4775,0.0641,0.6345,0.2133,1907,343,533,534,1373,44.65
yolo26n,48,45,60,60.32,0.176,0.0,0.5321,0.1846,1907,94,95,534,1373,59.83
yolo26n,48,45,75,75.38,0.0019,0.0,0.2506,,1907,1,0,534,1373,75.0
yolo26n,48,60,0,0.0,0.7978,0.579,0.7056,0.1824,1907,1221,1077,534,1373,0.0
yolo26n,48,60,15,15.33,0.5356,0.2127,0.659,0.1923,1907,578,809,534,1373,15.07
yolo26n,48,60,30,30.48,0.3577,0.0699,0.6514,0.2,1907,287,545,534,1373,30.19
yolo26n,48,60,45,45.21,0.2266,0.0146,0.5999,0.2017,1907,141,438,534,1373,44.87
yolo26n,48,60,60,60.32,0.0693,0.0,0.496,0.2007,1907,37,106,534,1373,60.0
yolo26n,48,60,75,75.38,0.0,0.0,,,1907,0,2,534,1373,74.92
yolo26n,48,75,0,0.0,0.0524,0.0109,0.5531,0.1975,1907,43,25,534,1373,0.0
yolo26n,48,75,15,15.33,0.0206,0.0029,0.464,0.1399,1907,15,123,534,1373,15.09
yolo26n,48,75,30,30.48,0.0,0.0,,,1907,0,96,534,1373,30.15
yolo26n,48,75,45,45.21,0.0,0.0,,,1907,0,102,534,1373,44.77
yolo26n,48,75,60,60.32,0.0,0.0,,,1907,0,13,534,1373,59.7
yolo26n,48,75,75,75.38,0.0,0.0,,,1907,0,1,534,1373,74.67
yolo26n,32,0,0,0.0,0.97,0.9381,0.8183,0.1364,1907,1806,619,534,1373,0.0
yolo26n,32,0,15,15.33,0.7397,0.6438,0.7259,0.1768,1907,1279,630,534,1373,15.11
yolo26n,32,0,30,30.48,0.6255,0.3117,0.6567,0.1949,1907,762,631,534,1373,30.32
yolo26n,32,0,45,45.21,0.47,0.0575,0.6199,0.2064,1907,330,455,534,1373,45.05
yolo26n,32,0,60,60.32,0.1273,0.0007,0.5327,0.1775,1907,69,60,534,1373,60.1
yolo26n,32,0,75,75.38,0.0019,0.0,0.6135,,1907,1,0,534,1373,75.01
yolo26n,32,15,0,0.0,0.9663,0.9337,0.8183,0.1337,1907,1798,554,534,1373,0.0
yolo26n,32,15,15,15.33,0.7472,0.6315,0.7268,0.1741,1907,1266,642,534,1373,15.03
yolo26n,32,15,30,30.48,0.6311,0.2957,0.658,0.204,1907,743,647,534,1373,30.09
yolo26n,32,15,45,45.21,0.4831,0.059,0.6286,0.2071,1907,339,454,534,1373,44.71
yolo26n,32,15,60,60.32,0.1348,0.0007,0.5231,0.1869,1907,73,59,534,1373,59.69
yolo26n,32,15,75,75.38,0.0019,0.0,0.5286,,1907,1,0,534,1373,74.72
yolo26n,32,30,0,0.0,0.97,0.9345,0.8108,0.1372,1907,1801,636,534,1373,0.0
yolo26n,32,30,15,15.33,0.7678,0.646,0.7264,0.1732,1907,1297,707,534,1373,14.98
yolo26n,32,30,30,30.48,0.6498,0.2993,0.6596,0.197,1907,758,677,534,1373,30.2
yolo26n,32,30,45,45.21,0.4869,0.0699,0.6261,0.2028,1907,356,451,534,1373,45.07
yolo26n,32,30,60,60.32,0.1461,0.0007,0.5482,0.1909,1907,79,76,534,1373,60.33
yolo26n,32,30,75,75.38,0.0,0.0,,,1907,0,2,534,1373,75.36
yolo26n,32,45,0,0.0,0.9419,0.8784,0.7914,0.1391,1907,1709,847,534,1373,0.0
yolo26n,32,45,15,15.33,0.7004,0.5856,0.706,0.1788,1907,1178,953,534,1373,14.78
yolo26n,32,45,30,30.48,0.6086,0.2651,0.6532,0.1984,1907,689,616,534,1373,29.85
yolo26n,32,45,45,45.21,0.4438,0.0583,0.6161,0.2107,1907,317,454,534,1373,44.65
yolo26n,32,45,60,60.32,0.1292,0.0,0.5285,0.1728,1907,69,76,534,1373,59.83
yolo26n,32,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,32,60,0,0.0,0.7772,0.5645,0.7057,0.1809,1907,1190,997,534,1373,0.0
yolo26n,32,60,15,15.33,0.4775,0.1916,0.6546,0.1895,1907,518,718,534,1373,15.07
yolo26n,32,60,30,30.48,0.309,0.0605,0.6508,0.1897,1907,248,489,534,1373,30.19
yolo26n,32,60,45,45.21,0.1798,0.0109,0.5853,0.2108,1907,111,354,534,1373,44.87
yolo26n,32,60,60,60.32,0.0487,0.0,0.4759,0.1866,1907,26,79,534,1373,60.0
yolo26n,32,60,75,75.38,0.0,0.0,,,1907,0,1,534,1373,74.92
yolo26n,32,75,0,0.0,0.0375,0.0109,0.5194,0.2102,1907,35,18,534,1373,0.0
yolo26n,32,75,15,15.33,0.0094,0.0022,0.4589,0.1732,1907,8,93,534,1373,15.09
yolo26n,32,75,30,30.48,0.0,0.0,,,1907,0,67,534,1373,30.15
yolo26n,32,75,45,45.21,0.0,0.0,,,1907,0,61,534,1373,44.77
yolo26n,32,75,60,60.32,0.0,0.0,,,1907,0,8,534,1373,59.7
yolo26n,32,75,75,75.38,0.0,0.0,,,1907,0,1,534,1373,74.67
yolo26n,24,0,0,0.0,0.9551,0.9337,0.8173,0.1293,1907,1792,611,534,1373,0.0
yolo26n,24,0,15,15.33,0.6966,0.5827,0.7034,0.1831,1907,1172,613,534,1373,15.11
yolo26n,24,0,30,30.48,0.5861,0.2717,0.6314,0.2046,1907,686,546,534,1373,30.32
yolo26n,24,0,45,45.21,0.4139,0.043,0.6108,0.2014,1907,280,342,534,1373,45.05
yolo26n,24,0,60,60.32,0.0843,0.0007,0.4834,0.1872,1907,46,34,534,1373,60.1
yolo26n,24,0,75,75.38,0.0019,0.0,0.3554,,1907,1,0,534,1373,75.01
yolo26n,24,15,0,0.0,0.9588,0.9315,0.8112,0.1395,1907,1791,556,534,1373,0.0
yolo26n,24,15,15,15.33,0.691,0.5812,0.704,0.1836,1907,1167,630,534,1373,15.03
yolo26n,24,15,30,30.48,0.5974,0.2462,0.648,0.2004,1907,657,560,534,1373,30.09
yolo26n,24,15,45,45.21,0.4157,0.0466,0.6204,0.1966,1907,286,357,534,1373,44.71
yolo26n,24,15,60,60.32,0.0899,0.0,0.5096,0.1608,1907,48,39,534,1373,59.69
yolo26n,24,15,75,75.38,0.0019,0.0,0.3438,,1907,1,0,534,1373,74.72
yolo26n,24,30,0,0.0,0.9532,0.9294,0.8095,0.1341,1907,1785,623,534,1373,0.0
yolo26n,24,30,15,15.33,0.7172,0.6052,0.7088,0.1764,1907,1214,656,534,1373,14.98
yolo26n,24,30,30,30.48,0.6049,0.2688,0.6371,0.1988,1907,692,578,534,1373,30.2
yolo26n,24,30,45,45.21,0.4157,0.059,0.6009,0.2069,1907,303,374,534,1373,45.07
yolo26n,24,30,60,60.32,0.0993,0.0,0.5485,0.1806,1907,53,50,534,1373,60.33
yolo26n,24,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,24,45,0,0.0,0.9363,0.8718,0.7839,0.146,1907,1697,842,534,1373,0.0
yolo26n,24,45,15,15.33,0.6554,0.5499,0.6891,0.183,1907,1105,878,534,1373,14.78
yolo26n,24,45,30,30.48,0.5487,0.2403,0.6411,0.1975,1907,623,552,534,1373,29.85
yolo26n,24,45,45,45.21,0.3689,0.0495,0.6115,0.2052,1907,265,375,534,1373,44.65
yolo26n,24,45,60,60.32,0.0861,0.0,0.5255,0.1772,1907,46,57,534,1373,59.83
yolo26n,24,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,24,60,0,0.0,0.7547,0.5521,0.6943,0.1864,1907,1161,911,534,1373,0.0
yolo26n,24,60,15,15.33,0.4195,0.1661,0.6402,0.1888,1907,452,623,534,1373,15.07
yolo26n,24,60,30,30.48,0.2809,0.0524,0.6352,0.1829,1907,222,402,534,1373,30.19
yolo26n,24,60,45,45.21,0.1404,0.0058,0.5964,0.1888,1907,83,286,534,1373,44.87
yolo26n,24,60,60,60.32,0.03,0.0,0.4677,0.1749,1907,16,65,534,1373,60.0
yolo26n,24,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
yolo26n,24,75,0,0.0,0.0262,0.0087,0.5519,0.2148,1907,26,13,534,1373,0.0
yolo26n,24,75,15,15.33,0.0037,0.0015,0.5307,0.1872,1907,4,63,534,1373,15.09
yolo26n,24,75,30,30.48,0.0,0.0,,,1907,0,49,534,1373,30.15
yolo26n,24,75,45,45.21,0.0,0.0,,,1907,0,50,534,1373,44.77
yolo26n,24,75,60,60.32,0.0,0.0,,,1907,0,5,534,1373,59.7
yolo26n,24,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
yolo26n,16,0,0,0.0,0.9307,0.9192,0.8016,0.1427,1907,1759,577,534,1373,0.0
