rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
48,0,0,0.0,0.9738,0.9578,0.803,0.1078,1907,1835,779,534,1373,0.0
48,0,15,15.33,0.7584,0.6737,0.7271,0.1539,1907,1330,866,534,1373,15.11
48,0,30,30.48,0.4794,0.2389,0.6395,0.1787,1907,584,546,534,1373,30.32
48,0,45,45.21,0.2491,0.0561,0.5807,0.1847,1907,210,272,534,1373,45.05
48,0,60,60.32,0.0543,0.0036,0.4897,0.1696,1907,34,62,534,1373,60.1
48,0,75,75.38,0.0037,0.0,0.3462,0.0168,1907,2,6,534,1373,75.01
48,15,0,0.0,0.9719,0.9592,0.8001,0.1124,1907,1836,684,534,1373,0.0
48,15,15,15.33,0.7472,0.6773,0.7204,0.1552,1907,1329,799,534,1373,15.03
48,15,30,30.48,0.4757,0.2294,0.6475,0.1754,1907,569,496,534,1373,30.09
48,15,45,45.21,0.2753,0.067,0.5536,0.187,1907,239,225,534,1373,44.71
48,15,60,60.32,0.0618,0.0036,0.4809,0.1689,1907,38,62,534,1373,59.69
48,15,75,75.38,0.0019,0.0,0.6138,,1907,1,4,534,1373,74.72
48,30,0,0.0,0.9682,0.9395,0.7954,0.1084,1907,1807,761,534,1373,0.0
48,30,15,15.33,0.7734,0.6701,0.7288,0.1427,1907,1333,846,534,1373,14.98
48,30,30,30.48,0.5056,0.2447,0.6519,0.1671,1907,606,580,534,1373,30.2
48,30,45,45.21,0.2285,0.0757,0.5523,0.1751,1907,226,232,534,1373,45.07
48,30,60,60.32,0.0412,0.0051,0.4834,0.1691,1907,29,63,534,1373,60.33
48,30,75,75.38,0.0,0.0,,,1907,0,6,534,1373,75.36
48,45,0,0.0,0.9588,0.9046,0.7609,0.1307,1907,1754,1038,534,1373,0.0
48,45,15,15.33,0.764,0.614,0.6963,0.1603,1907,1251,1415,534,1373,14.78
48,45,30,30.48,0.4438,0.1981,0.6372,0.1724,1907,509,732,534,1373,29.85
48,45,45,45.21,0.1948,0.0452,0.5336,0.172,1907,166,251,534,1373,44.65
48,45,60,60.32,0.0206,0.0007,0.4572,0.1656,1907,12,42,534,1373,59.83
48,45,75,75.38,0.0,0.0,,,1907,0,6,534,1373,75.0
48,60,0,0.0,0.7509,0.5623,0.6721,0.1689,1907,1173,1461,534,1373,0.0
48,60,15,15.33,0.5393,0.2484,0.6243,0.1709,1907,629,1396,534,1373,15.07
48,60,30,30.48,0.1573,0.0488,0.5765,0.1799,1907,151,344,534,1373,30.19
48,60,45,45.21,0.03,0.0058,0.5083,0.1653,1907,24,73,534,1373,44.87
48,60,60,60.32,0.0019,0.0,0.3023,,1907,1,16,534,1373,60.0
48,60,75,75.38,0.0019,0.0,0.5066,,1907,1,3,534,1373,74.92
48,75,0,0.0,0.0356,0.0146,0.5377,0.1761,1907,39,20,534,1373,0.0
48,75,15,15.33,0.0169,0.0022,0.5383,0.1645,1907,12,64,534,1373,15.09
48,75,30,30.48,0.0019,0.0,0.4618,,1907,1,7,534,1373,30.15
48,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
48,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
48,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
32,0,0,0.0,0.9644,0.957,0.7985,0.1107,1907,1829,755,534,1373,0.0
32,0,15,15.33,0.6723,0.6249,0.7128,0.1526,1907,1217,800,534,1373,15.11
32,0,30,30.48,0.412,0.2119,0.6272,0.1728,1907,511,440,534,1373,30.32
32,0,45,45.21,0.1948,0.0539,0.5676,0.1821,1907,178,213,534,1373,45.05
32,0,60,60.32,0.0393,0.0036,0.4829,0.1662,1907,26,47,534,1373,60.1
32,0,75,75.38,0.0037,0.0,0.2875,0.0069,1907,2,5,534,1373,75.01
32,15,0,0.0,0.9644,0.9527,0.7982,0.1084,1907,1823,661,534,1373,0.0
32,15,15,15.33,0.6816,0.6264,0.7061,0.1573,1907,1224,758,534,1373,15.03
32,15,30,30.48,0.4213,0.2105,0.6246,0.1751,1907,514,424,534,1373,30.09
32,15,45,45.21,0.2247,0.0568,0.5482,0.1807,1907,198,183,534,1373,44.71
32,15,60,60.32,0.0449,0.0029,0.4661,0.142,1907,28,48,534,1373,59.69
32,15,75,75.38,0.0019,0.0,0.5115,,1907,1,3,534,1373,74.72
32,30,0,0.0,0.9625,0.9388,0.7912,0.1105,1907,1803,737,534,1373,0.0
32,30,15,15.33,0.7135,0.6402,0.7089,0.1493,1907,1260,845,534,1373,14.98
32,30,30,30.48,0.412,0.2265,0.6388,0.1656,1907,531,515,534,1373,30.2
32,30,45,45.21,0.1685,0.0655,0.5573,0.1729,1907,180,225,534,1373,45.07
32,30,60,60.32,0.03,0.0036,0.488,0.141,1907,21,58,534,1373,60.33
32,30,75,75.38,0.0,0.0,,,1907,0,5,534,1373,75.36
32,45,0,0.0,0.9532,0.8988,0.7593,0.1289,1907,1743,1027,534,1373,0.0
32,45,15,15.33,0.7004,0.5725,0.6865,0.1595,1907,1160,1342,534,1373,14.78
32,45,30,30.48,0.3652,0.1814,0.6266,0.169,1907,444,646,534,1373,29.85
32,45,45,45.21,0.1367,0.0466,0.5216,0.17,1907,137,222,534,1373,44.65
32,45,60,60.32,0.0112,0.0007,0.5115,0.1584,1907,7,40,534,1373,59.83
32,45,75,75.38,0.0,0.0,,,1907,0,6,534,1373,75.0
32,60,0,0.0,0.736,0.5477,0.6709,0.1659,1907,1145,1411,534,1373,0.0
32,60,15,15.33,0.4644,0.228,0.6182,0.1648,1907,561,1284,534,1373,15.07
32,60,30,30.48,0.1273,0.0437,0.5708,0.1686,1907,128,307,534,1373,30.19
32,60,45,45.21,0.0187,0.0066,0.5374,0.159,1907,19,58,534,1373,44.87
32,60,60,60.32,0.0019,0.0,0.2566,,1907,1,12,534,1373,60.0
