epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8529,1.76269,1.40754,1.07287,0.84116,0.77273,0.84161,0.49636,1.56999,1.01511,1.02105,0.000554042,0.000554042,0.000554042
2,74.8975,1.65649,0.95939,1.03984,0.83967,0.78447,0.85398,0.49795,1.54626,0.88574,1.02096,0.00108774,0.00108774,0.00108774
3,109.583,1.6458,0.87253,1.03872,0.8791,0.79266,0.85975,0.50259,1.55039,0.83345,1.02035,0.00159943,0.00159943,0.00159943
4,144.038,1.62112,0.83879,1.03614,0.88988,0.81597,0.88594,0.52906,1.53275,0.77146,1.02872,0.00156798,0.00156798,0.00156798
5,178.65,1.60455,0.81651,1.03188,0.90015,0.79327,0.8729,0.50978,1.53734,0.78808,1.02703,0.00153497,0.00153497,0.00153497
6,213.299,1.58045,0.78982,1.02493,0.86309,0.81257,0.872,0.50282,1.58297,0.76255,1.03092,0.00150197,0.00150197,0.00150197
7,247.767,1.57014,0.77365,1.0178,0.90451,0.83625,0.90123,0.54901,1.48751,0.69452,1.012,0.00146896,0.00146896,0.00146896
8,282.323,1.56605,0.76563,1.0175,0.9035,0.83563,0.90045,0.54683,1.47394,0.70733,1.0018,0.00143595,0.00143595,0.00143595
9,316.582,1.54554,0.74568,1.01405,0.8974,0.82838,0.89909,0.53999,1.50349,0.71183,1.01258,0.00140295,0.00140295,0.00140295
10,351.658,1.54115,0.73764,1.01058,0.89371,0.83315,0.90293,0.55142,1.47533,0.69686,1.00209,0.00136994,0.00136994,0.00136994
11,386.395,1.53061,0.72764,1.01036,0.9219,0.84351,0.91425,0.55374,1.47276,0.67427,1.0046,0.00133693,0.00133693,0.00133693
12,420.815,1.53648,0.7282,1.00586,0.91859,0.84244,0.91739,0.56638,1.47131,0.66237,1.00575,0.00130393,0.00130393,0.00130393
13,455.047,1.51955,0.71867,1.00593,0.92709,0.85663,0.91631,0.5694,1.44391,0.64699,0.99502,0.00127092,0.00127092,0.00127092
14,489.582,1.51269,0.70993,0.99927,0.92097,0.84753,0.9141,0.56687,1.45713,0.65507,0.99964,0.00123791,0.00123791,0.00123791
15,525.35,1.5093,0.7032,0.9959,0.90644,0.8575,0.91628,0.57333,1.44939,0.64551,0.99445,0.00120491,0.00120491,0.00120491
16,561.123,1.50195,0.6948,1.00005,0.93018,0.85538,0.92235,0.57101,1.43411,0.64574,0.99106,0.0011719,0.0011719,0.0011719
17,595.714,1.50478,0.69558,0.99368,0.92125,0.85904,0.91839,0.57154,1.43788,0.6305,0.99298,0.00113889,0.00113889,0.00113889
18,630.07,1.50624,0.68773,0.99475,0.92851,0.85846,0.92181,0.57865,1.43572,0.63163,0.98914,0.00110589,0.00110589,0.00110589
19,664.551,1.49608,0.68094,0.98974,0.92217,0.85723,0.91773,0.57082,1.44547,0.63201,0.99558,0.00107288,0.00107288,0.00107288
20,699.002,1.4892,0.67446,0.98964,0.92244,0.86615,0.92331,0.58218,1.4335,0.61871,0.98849,0.00103987,0.00103987,0.00103987
21,733.424,1.49595,0.67186,0.98719,0.90372,0.86792,0.92261,0.58227,1.42973,0.62283,0.98891,0.00100687,0.00100687,0.00100687
22,768.438,1.4828,0.6776,0.99214,0.93079,0.86498,0.92466,0.58109,1.42358,0.61456,0.98581,0.000973861,0.000973861,0.000973861
23,803.036,1.47621,0.66495,0.9903,0.92609,0.86307,0.923,0.58168,1.42771,0.61682,0.9852,0.000940855,0.000940855,0.000940855
24,837.302,1.46848,0.65541,0.98594,0.93073,0.85853,0.92533,0.58432,1.41516,0.61099,0.98283,0.000907848,0.000907848,0.000907848
25,871.788,1.46163,0.65391,0.98631,0.92086,0.8714,0.9282,0.5863,1.41347,0.6153,0.98324,0.000874842,0.000874842,0.000874842
26,906.183,1.46267,0.65189,0.98145,0.93207,0.86551,0.92589,0.58448,1.41524,0.60781,0.98459,0.000841835,0.000841835,0.000841835
27,941.8,1.46067,0.65085,0.98455,0.92334,0.87777,0.92818,0.58898,1.40452,0.60312,0.97989,0.000808828,0.000808828,0.000808828
